OBJECTID,GLOBAL_ID,COURSE,TYPE_CODE,DISTHORZ,SYS_ID,SYS_TYPE,REFPT_ID,REFPT_TYPE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Length
11210,5CD6F40F-52D4-48B8-B2BC-F47E2B3735CF,277.61,4,9,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,06333A06-ED89-4B88-BC11-A24BA589F2F3,2,0,0,1,0,0,0,0.20216853417879
11211,99237E06-8FFE-47C9-9363-5FCD5E971CCE,75.35,4,9,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,53764A01-FCD4-44D4-89DB-033FF0876544,2,0,0,1,0,0,0,0.203705218639582
11212,6E1108B5-2DC1-45D5-853F-52DD7F2C6A84,55.12,4,9.34,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,CAED4551-9AE0-43AD-9CC4-3EB0979B0CAD,2,0,0,1,0,0,0,0.224142220719328
11213,C0E10827-4063-44E0-89EF-D4F9653492D4,101,4,10,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,A099ADEC-E61F-4A1C-AB33-D90B8F34569A,2,0,0,1,0,0,0,0.234593980768935
11214,142C9A00-629E-4668-90E6-C64A307E87BD,269.81,4,10,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,B1EFF9E5-DD81-41A7-8A32-7D8A4C36E97D,2,0,0,1,0,0,0,0.240990348290091
11215,E381742A-17CC-49B4-90EE-E81394C884FE,356.51,4,15.44,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,993E0D20-7822-4F91-A518-6AAF5AE60EF4,2,0,0,1,0,0,0,0.258504177393713
11216,74814558-9C7D-4751-809D-E89203C88131,192,4,15.1,8953CE9B-8188-49FD-9D9E-C36F26570779,NAVAID,7AC0D947-1317-4825-A73F-554C6627AEDB,2,0,0,1,0,0,0,0.259527067913931
11217,AFF63980-FE70-417E-8A81-D4730BAD72A9,127.35,4,14,8953CE9B-8188-49FD-9D9E-C36F26570779,NAVAID,BD935EA7-8E82-4AE1-8252-F1FB44C70520,2,0,0,1,0,0,0,0.275735583320334
11218,766143FD-844B-40E8-B5E1-0D511E4E9B99,229.2,4,,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,AA88C4E7-34C6-4ED5-8ADF-C9D08A4FF52D,2,0,0,1,0,0,0,0.275788428910629
11219,6FEBB664-40B0-4106-8611-19A10B3591FD,217.01,4,,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,427B5DF2-872B-4714-9A5D-3891B865F9EC,2,0,0,1,0,0,0,0.285773660250575
