OBJECTID,GLOBAL_ID,DISTANCE,DOGLGPT_ID,DOGLGPTID2,DOGLGPTID3,DOGLGPTID4,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
58,FF2A066E-694C-4468-A7A4-80E015A2E4A2,86.38,,,,,0,0,0,1,0,0
59,5E99A6BC-2DF5-431B-B864-C4409D0C2A6B,170.52,A454A7E6-52C3-4F25-B419-5F2F6D0CC277,,,,0,0,0,1,0,0
60,F3DECCB3-A33C-434A-AE53-D03F5FBF2E11,33.56,,,,,0,0,0,1,0,0
61,6DA96C45-EF91-4102-BD06-139E4388F699,185.76,,,,,0,0,0,1,0,0
62,0EF30EFB-A4BD-4B7A-8965-D3888D4AEF12,157.23,,,,,0,0,0,1,0,0
63,93CD3311-4FCB-4B2B-B057-E3D57EC436DB,242.35,,,,,0,0,0,1,0,0
64,E2828E29-3348-47BE-BFDC-12909A590EBF,133.28,CC30FA59-2696-4B5E-979A-8E156264FC6C,,,,0,0,0,1,0,0
65,F5BCA9DD-471B-41EC-BE7A-F851E256FE4B,54.2,,,,,0,0,0,1,0,0
66,E1865258-18D3-4A8E-B26F-00090A5801DB,103.07,,,,,0,0,0,1,0,0
67,450D5D25-6D2D-44DD-BACA-01ED51B755F1,84.75,,,,,0,0,0,1,0,0
68,DF8C3760-9674-477E-B57F-A9B22C9A5003,174.49,,,,,0,0,0,1,0,0
69,4F643334-7B9F-4907-AF72-6D7FC9CABE05,114.61,,,,,0,0,0,1,0,0
70,A2228F68-3776-4770-A59B-334ACD7DDA4C,161.6,,,,,0,0,0,1,0,0
71,24F03A3F-3EF9-4C80-9DF4-DB0B3D4865B0,163.65,,,,,0,0,0,1,0,0
72,61BCFFF2-1ACB-4EF9-BE89-00DE62868749,117.15,D891EEAA-5E2D-4CEF-8799-1FC7617A7321,,,,0,0,0,1,0,0
73,ED97D44B-B8F7-4B10-9838-9EB0EDE5DC9E,106.36,,,,,0,0,0,1,0,0
74,1E49D764-20C1-4C43-BD14-DD20CBEA4061,167.17,,,,,0,0,0,1,0,0
75,5CA9A573-C692-47E0-85E6-61DD893631D2,90.15,,,,,0,0,0,1,0,0
76,76D5470B-AB64-4D48-8205-3D39D3B00980,115.5,,,,,0,0,0,1,0,0
77,41D12D7C-80E5-4F71-AE09-C461FFD60E98,221.96,D5D95C5F-50D7-4CC2-AEC8-947FFE7EF0F5,,,,0,0,0,1,0,0
78,9B9E4E30-DF40-4123-8263-2B49E36B1622,97.18,D5260AEC-71BF-4E19-9FC6-37EF188F5694,,,,0,0,0,1,0,0
79,64126777-BE6E-49E6-8382-B74F0B2A99BE,80.18,,,,,0,0,0,1,0,0
