OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,APRON_OPER,Shape__Area,Shape__Length
614,LAS,KLAS,UNK,1,2,3.22970481177187e-05,0.0405779441518648
615,LAS,KLAS,UNK,1,2,5.58356459248732e-07,0.004081268059621
616,LAS,KLAS,HOLDING PADS #1,1,2,3.58957084617417e-06,0.00801246715968756
617,LAS,KLAS,N & S HOLDING PADS,1,2,3.13063036038244e-06,0.00707685993572787
618,TEB,KTEB,UNK,1,2,3.1043847093697e-07,0.00303395932923001
619,DEN,KDEN,UNK,1,2,1.53448204400775e-05,0.0341399418833809
620,DEN,KDEN,UNK,1,2,3.08197215283246e-06,0.0280769310645218
621,DEN,KDEN,UNK,1,2,2.19861258577564e-07,0.00323595656327899
622,TEB,KTEB,UNK,1,2,7.46479786802035e-06,0.0156626234883514
623,TEB,KTEB,UNK,1,2,1.32437291597981e-06,0.00759961863729136
624,TEB,KTEB,UNK,1,2,5.17096867107443e-07,0.00383591466049079
625,TEB,KTEB,UNK,1,2,2.63065158803699e-06,0.0235991021979298
626,AUS,KAUS,UNK,1,2,6.06181576996712e-07,0.00399377979636662
627,DEN,KDEN,DE-ICE PAD E,1,2,1.96974573184877e-06,0.00701447341120308
628,DEN,KDEN,GENERAL AVIATION PARKING,1,2,4.58007303960086e-06,0.00948787115721093
629,LAS,KLAS,N & S HOLDING PADS,1,2,3.28642860192296e-06,0.00715605961684308
630,LAS,KLAS,UNK,1,2,1.94988187113276e-05,0.0470717575368919
631,LAS,KLAS,NORTHEAST HOLDING PAD,1,2,5.10622320384901e-07,0.00310051186244868
632,LAS,KLAS,HOLDING PADS #2,1,2,3.04656689531502e-06,0.00666567252487392
633,LAS,KLAS,HOLDING PADS #3,1,2,4.25637800477441e-06,0.007958599499002
634,AUS,KAUS,MAINTENANCE RAMP,1,2,7.36980865287395e-06,0.0115520282761529
635,LAS,KLAS,HOLDING PADS #4,1,2,3.51966869782411e-06,0.00804761064207206
636,DEN,KDEN,UNK,1,2,1.15748866846843e-05,0.0229726872776233
637,DEN,KDEN,DE-ICE PAD SC,1,2,2.11397448875855e-06,0.00582473021442727
638,BWI,KBWI,MID-FIELD CARGO COMPLEX,1,2,1.14429390123405e-05,0.0263874850410736
639,LAS,KLAS,UNK,1,2,3.60525525044952e-07,0.00587237584695873
640,DEN,KDEN,UNK,1,2,9.27335349842906e-06,0.0218120593227184
641,DEN,KDEN,DE-ICE PAD,1,2,5.60514627068187e-06,0.0148047045926757
642,BWI,KBWI,APRON,1,7,2.62413823293173e-06,0.0147521898115223
643,BWI,KBWI,DE-ICING AREA,1,2,5.97674102209567e-06,0.0139185766663457
644,BWI,KBWI,AIR CARGO,1,2,5.6149744978029e-06,0.0100966319538628
645,BWI,KBWI,RON,1,2,1.82719122676644e-06,0.00586348563302256
646,BWI,KBWI,DE-ICING,1,2,5.2568796036212e-06,0.0129045050885668
647,BWI,KBWI,GENERAL AVIATION PARKING,1,2,1.22124108656863e-05,0.0276110791250013
648,BWI,KBWI,UNK,1,2,1.12128509499598e-06,0.00695073239973801
649,BWI,KBWI,DE-ICE,1,2,1.38712107400352e-06,0.00540279379783745
650,BWI,KBWI,ALTERNATE DE-ICING PAD,1,2,1.91590697795618e-06,0.00601005021805445
651,PSC,KPSC,UNK,1,2,3.63867697587145e-08,0.000821935238745368
652,PSC,KPSC,UNK,1,2,1.09451366370195e-06,0.00531945768438123
653,PSC,KPSC,UNK,1,2,8.91184168502757e-07,0.00585599120599799
654,PSC,KPSC,DE-ICE PAD,1,2,4.40301846538205e-07,0.00281504085079882
655,TPA,KTPA,AIRSIDE A,1,2,3.5245002436568e-06,0.00795501157061914
656,TPA,KTPA,AIRSIDE A SORT REMOTE AIRCRAFT PARKING,1,2,8.15473867987748e-07,0.00361287361302294
657,TPA,KTPA,UNK,1,2,3.69586894729407e-06,0.00904817579598534
658,RIC,KRIC,UNK,1,2,4.68405882646933e-07,0.00543218434505097
659,RIC,KRIC,UNK,1,2,9.12759837933506e-07,0.00596553461800012
660,RIC,KRIC,UNK,1,2,4.61743411506177e-07,0.00312441610792023
661,RIC,KRIC,EAST RAMP 1,1,2,3.0373751087609e-06,0.00735428906182773
662,RIC,KRIC,EAST RAMP 3,1,2,2.99635371447948e-06,0.0100448926695363
663,RIC,KRIC,EAST RAMP 4,1,2,4.3282307049114e-06,0.0109105390901492
664,DTW,DTW,UNK,1,2,1.40228922504149e-05,0.0195967017396923
665,TPA,KTPA,GENERAL AVIATION PARKING,1,2,3.17442868436046e-06,0.00872288598131676
666,TPA,KTPA,UNK,1,2,5.39367107176003e-06,0.0152424069003741
667,RIC,KRIC,UNK,1,2,1.1950312262211e-06,0.00653800868558356
668,RIC,KRIC,FBO/GENERAL AVIATION PARKING,1,2,1.82840676643536e-06,0.00592592400310169
669,RIC,KRIC,UNK,1,2,1.8495662061635e-07,0.00237640338689378
670,RIC,KRIC,UNK,1,2,4.19669217602107e-07,0.00285852612114695
671,RIC,KRIC,FBO/GENERAL AVIATION PARKING,1,2,2.80831705226463e-06,0.0113138177262645
672,RIC,KRIC,UNK,1,2,8.8076434659537e-06,0.0218324956856429
673,RIC,KRIC,CARGO RAMP,1,2,6.68098300593556e-06,0.0164768495909887
674,RIC,KRIC,UNK,1,2,5.65464233659441e-07,0.00305921043738227
675,RIC,KRIC,UNK,1,2,1.60624481721754e-05,0.0380072964749532
676,PBI,KPBI,UNK,1,2,4.13238880173084e-06,0.010695756090911
677,PBI,KPBI,UNK,1,2,1.56242322191247e-07,0.00188595611843078
678,DCA,KDCA,GENERAL AVIATION PARKING,1,2,4.8825754153381e-06,0.0118274576682875
679,DCA,KDCA,HOLD BAY 19,1,2,4.44968236479326e-07,0.00348614921534045
680,DCA,KDCA,COMMUTER PARKING,1,2,2.02523078966788e-06,0.0060375757531777
681,DCA,KDCA,UNK,1,2,3.53473947848904e-05,0.0688932814358326
682,DCA,KDCA,HOLD BAY 33,1,2,8.55765058502787e-07,0.00534318620925683
683,DCA,KDCA,HOLD BAY 4,1,2,1.57029194269853e-06,0.00540239170890708
684,TPA,KTPA,UNK,1,2,2.9713132789766e-06,0.007352469522885
685,DCA,KDCA,HOLD BAY 22,1,2,3.81815407992248e-07,0.00285221986343682
686,DCA,KDCA,HOLD BAY 15,1,2,9.55108065754662e-07,0.00410137322840144
687,DCA,KDCA,HOLD BAY 1,1,2,7.29046349116913e-07,0.00496988198108132
688,DCA,KDCA,UNK,1,2,5.18710378059461e-08,0.000923551648351813
689,DCA,KDCA,UNK,1,2,4.56941585578411e-07,0.00350894657784502
690,TPA,KTPA,UNK,1,2,4.26724682256463e-07,0.00405905618259012
691,DCA,KDCA,UNK,1,2,3.57878433627796e-07,0.00283082398070519
692,DCA,KDCA,UNK,1,2,3.27732694912174e-07,0.00271544084870958
693,DCA,KDCA,UNK,1,2,1.66574606219063e-07,0.00175791475438501
694,DCA,KDCA,UNK,1,2,6.34667849799803e-07,0.00453868274630059
695,TPA,KTPA,UNK,1,2,3.31772326221669e-06,0.010455252126198
696,TPA,KTPA,UNK,1,2,1.24530492939812e-06,0.00475128819101387
697,TPA,KTPA,MAINTENANCE RUNUP AREA,1,2,1.14845188073365e-06,0.00518676643397273
698,TPA,KTPA,UNK,1,2,2.48341676022112e-07,0.00361692078606816
