X,Y,OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,CRSOUT,CRSOUT_TYP,CRSIN,DIRTURN,SPEEDLIMIT,SPLIM_UOM,REFPT_ID,REFPT_CL,NAVSYS_ID,STRUCTURES,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-81.6128277779999,28.3160444440001,30,B30BE211-8814-40AA-A84C-59A2368C7EAC,1,CAMBE INT*FL*K7,28-18-57.760N,081-36-46.180W,227,RAD,47,R,,,8CFAF28F-EDF0-4FB8-9F6D-88A23BCEB56E,1,E35A5684-6062-42FD-91A2-AEB62F56B7AF,ENROUTE LOW|IAP,0,0,1,0,0,0
-93.533322222,29.662672222,31,4B8E78E1-DC3A-4442-9FED-A55C85AE3DCD,1,CAMEO INT*LA*K4,29-39-45.620N,093-31-59.960W,86,RAD,266,L,,,4F6E3A72-3187-4996-A487-9EB7B747219C,1,7B79F57C-A213-4700-966D-690866DE287B,ENROUTE HIGH,0,0,0,1,0,0
-71.655833333,43.883888889,32,D9E20FA6-2881-4FA8-B016-F1096E6CC582,1,CAMTN WP*NH*K6,43-53-02.000N,071-39-21.000W,10,OTHER,190,R,,,E8E62BB0-21DA-46D0-93B4-0DB8E580EAB0,1,,ENROUTE HIGH,0,0,0,1,0,0
-78.229975,25.598836111,33,42A29EFD-94DC-4F9F-B5C4-8F8FB8B26118,1,CAREY INT*BAHAMAS*MY,25-35-55.810N,078-13-47.910W,315,RAD,135,R,,,A33BDD37-161B-4CCB-9EE9-3E70C3C2FD76,1,9A08985F-DFCD-46BD-A134-9A58F1BB81D1,ENROUTE HIGH|ENROUTE LOW,0,0,1,1,0,0
-92.3442916669999,31.157908333,34,26AE8780-9C16-42BB-9CC4-3875C92AABDF,1,CATCS INT*LA*K4,31-09-28.470N,092-20-39.450W,123,RAD,303,R,,,5CA0199F-B821-41D6-9686-5D26BC8939AD,1,1510CFDE-2AF8-43A2-8448-2C4A2F0B6966,ENROUTE LOW,0,0,1,0,0,0
-75.746458333,40.7995888890001,35,D2FC0F31-3B5D-4E2E-A625-AB1F51C24600,1,BILEY INT*PA*K6,40-47-58.520N,075-44-47.250W,298,RAD,118,L,,,0DB33EE0-0CEC-42F9-8BDC-CFF0F721FE61,1,04058130-487B-42A7-8581-CE46236C05B6,ENROUTE LOW|STAR,0,0,1,0,0,0
-90.962511111,41.776136111,36,E55896EE-D524-40BB-A0AC-5576FE7B7463,1,BILOX WP*IA*K3,41-46-34.090N,090-57-45.040W,57,OTHER,237,R,,,17E9055C-9E06-45E1-9E7B-112CE20B40E7,1,,ENROUTE LOW,0,0,1,0,0,0
-135.551312222,56.8594094440001,37,220E896F-95E7-47AD-A182-EB883A71BF9D,1,BIORKA ISLAND VORTAC*AK,,,189,RAD,9,L,,,4113B17F-A07B-4891-B5CF-EE317D31A7C5,0,4113B17F-A07B-4891-B5CF-EE317D31A7C5,ENROUTE HIGH|IAP|SID|SPECIAL IAP,0,1,0,0,0,0
-95.446388889,34.294011111,38,7691E5A7-DBB1-4FB5-A941-BA2B8A38DE2D,1,BIRLE INT*OK*K4,34-17-38.440N,095-26-47.000W,35,RAD,215,R,,,856CE1C7-AE5E-4CFD-B3AC-1C4F9DED3252,1,923D822B-4391-4037-A6E1-13FD5D1D2742,ENROUTE HIGH|STAR,0,0,0,1,0,0
-121.3564,35.631441667,39,079D9577-9FD6-4157-B71E-E371EAEE6353,1,BLANC INT*CA*K2,35-37-53.190N,121-21-23.040W,141,RAD,141,L,,,5BCFDBB2-049F-4316-88DB-DA4463571A06,1,5B5A5F4B-5B8B-4B8F-81E7-5A630F3202D4,ENROUTE LOW,0,0,1,0,0,0
-77.5949277779999,41.459511111,40,07FD54C9-D072-4B3A-A380-49AB2781695F,1,BLAZE INT*PA*K6,41-27-34.240N,077-35-41.740W,217,RAD,217,L,,,E285D7CB-6F2E-4F9A-BA9C-7F66BB698723,1,57598D31-B5D8-4292-9261-78216B4CB702,ENROUTE LOW,0,0,1,0,0,0
-107.039792222,38.452153056,41,3D130B82-1CCF-4EA1-8518-DF9966421F15,1,BLUE MESA VOR/DME*CO,,,211,RAD,31,L,,,9A6999B0-9C31-4330-8C22-1EB0F0DF4B30,0,9A6999B0-9C31-4330-8C22-1EB0F0DF4B30,ENROUTE LOW|SID,0,0,1,0,0,0
-79.8314055559999,26.89385,42,F014B60A-36DC-45B1-A55D-D1FAB99358B6,1,BLUFI INT*FL*K7,26-53-37.860N,079-49-53.060W,18,RAD,198,R,,,33E3D173-F9BF-442A-9BFF-2AB8BCD36C6C,1,F2BCDA67-1341-4BDC-BB00-3CCACB3CE5F6,ENROUTE LOW,0,0,1,0,0,0
-123.127016667,38.227091667,43,D2AF60BC-E20D-41C9-94B4-3653AF7D336E,1,BOARS WP*CA*K2,38-13-37.530N,123-07-37.260W,336,OTHER,156,R,,,E22F67C8-67D3-403F-AE4F-AA3B8163B79B,1,,ENROUTE LOW,0,0,1,0,0,0
-85.9819416669999,31.339391667,44,E994FBD5-A71F-49D6-84E1-501F4E02B82B,1,BOLL WEEVIL NDB*AL,,,285,TBRG,105,L,,,AB7A819B-8B41-4EC2-ADC4-43D26F43CFF5,0,AB7A819B-8B41-4EC2-ADC4-43D26F43CFF5,ENROUTE LOW|IAP|MILITARY IAP,0,0,1,0,0,0
-74.454744444,39.414472222,45,8BCCF9D0-132A-4DAF-91EE-9492FD009637,1,BOTON INT*NJ*K6,39-24-52.100N,074-27-17.080W,49,RAD,49,R,,,69595AB8-44F1-45CB-800E-200B5C901775,1,76654581-7F8A-4C51-BFDE-B5819283F047,ENROUTE HIGH|STAR,0,0,0,1,0,0
-83.096258333,34.1480527780001,46,4B0F2C30-F4BC-4FA8-8679-23B745CDBCB4,1,BOWMN INT*GA*K7,34-08-52.990N,083-05-46.530W,43,RAD,223,R,,,01AD8B81-EAF8-44F3-A4AF-6AF38563F55D,1,87F9D450-36F5-4AFE-BDED-1B4E648EC6DB,ENROUTE LOW,0,0,1,0,0,0
-89.587873056,41.1597313890001,47,B86DA512-7E62-4147-B5B3-8169BDE8F78E,1,BRADFORD VORTAC*IL,,,247,RAD,67,R,,,072FAD6E-6156-485F-9D4E-405B3E741A6D,0,072FAD6E-6156-485F-9D4E-405B3E741A6D,ENROUTE HIGH|ENROUTE LOW|STAR,0,0,1,1,0,0
-85.633425,37.836094444,48,46BF6CD2-774F-4BA1-97DC-731DF093D57A,1,BRBON INT*KY*K5,37-50-09.940N,085-38-00.330W,188,RAD,8,R,,,62418F36-3555-4949-B5B3-8691D4C7625E,1,F96DE79E-AFA1-4C34-99FF-840C2D47E1E9,ENROUTE LOW|IAP,0,0,1,0,0,0
-123.098402778,45.030969444,49,38BAACAE-17B2-4F52-B601-4B55969D8B44,2,BREAF INT*OR*K1,45-01-51.490N,123-05-54.250W,174,RAD,354,L,,,1E06F98E-64F6-46E2-8E5D-C4FFB31014F2,1,2C4515FC-510A-46D0-A8AB-C650AA31CA7F,ENROUTE LOW,0,0,1,0,0,0
-89.940361111,42.7983333330001,50,14194FAE-C95B-495C-9134-1AA838E0A291,1,BRIBE INT*WI*K5,42-47-54.000N,089-56-25.300W,289,RAD,109,R,,,B50E67DE-4CA2-4F0A-BB4B-879AA63BB872,1,0CE1FE2A-A5F6-496B-9DCB-9D37DCD543D2,ENROUTE HIGH|STAR,0,0,0,1,0,0
-84.808275,30.4475277780001,51,754C102B-26C7-4101-B4E6-34101376DA6C,1,BRITS INT*FL*K7,30-26-51.100N,084-48-29.790W,141,RAD,141,L,,,FCF1E7B9-FADB-4590-A95B-B9A5B3B38851,1,6583DCEA-350D-4DBC-92B2-1B0A48E720D1,ENROUTE LOW,0,0,1,0,0,0
-74.8218325,40.7984327780001,52,8D2711F7-E920-4F67-9186-E1A1F3EABD0F,1,BROADWAY VOR/DME*NJ,,,302,RAD,122,R,,,10422A0B-2A3B-46DF-A489-1201A3DCB8EB,0,10422A0B-2A3B-46DF-A489-1201A3DCB8EB,ENROUTE LOW,0,0,1,0,0,0
-81.581938889,42.331388889,53,60C302E2-7C49-4377-BB0C-A418AE998400,1,BROKK INT*CANADA*CY,42-19-53.000N,081-34-54.980W,95,RAD,95,R,,,B0BDC55C-7F15-48B4-8F37-71145A580363,1,B5EF3614-654B-492E-B2DE-408DC4F7232B,ENROUTE HIGH,0,0,0,1,0,0
-78.137419444,39.450913889,54,EFC0B5C8-70C2-44B2-90EE-0C4CBD7B0DEB,1,BUBBI INT*WV*K6,39-27-03.290N,078-08-14.710W,293,RAD,113,R,210,KT,C8638BDA-4CA7-4633-ABC5-E5158470A0D1,1,4875D248-0959-471B-8BD3-10C89E6A99EF,ENROUTE LOW|STAR,0,0,1,0,1,0
-115.718436111,34.7189083330001,55,4B9D8279-680B-47F2-8526-7F8CB4D89EA9,1,BUGGA INT*CA*K2,34-43-08.070N,115-43-06.370W,46,RAD,46,R,,,19E0E0E9-F1E0-4CA2-9388-2C4D61D31102,1,4F2DE766-8A42-4E44-9789-81492E70CC2D,ENROUTE HIGH,0,0,0,1,0,0
-75.7485972219999,40.0822250000001,56,4D8D97B5-8996-415A-A090-9943861AC370,1,BUNTS INT*PA*K6,40-04-56.010N,075-44-54.950W,104,RAD,104,L,210,KT,879B47F5-A93F-4647-BDA3-32269A0996BB,1,249BB6CF-3CB0-444A-AEF5-B9B76436E831,ENROUTE LOW|STAR,0,0,1,0,1,0
-75.5019055559999,40.5022638890001,57,E64BD9D9-00D3-4927-B7B8-D98CBD33FEE4,1,BUSKY INT*PA*K6,40-30-08.150N,075-30-06.860W,18,RAD,198,R,,,2EA677D1-70CA-4A72-A47D-A7421D180745,1,79E1CF85-7681-4319-9D81-A87813E44682,ENROUTE LOW,0,0,1,0,0,0
-80.1507861109999,35.9575222220001,58,8D297C23-277B-48B0-9D93-D9050418CCDF,2,BYJAC WP*NC*K7,35-57-27.080N,080-09-02.830W,245,OTHER,65,R,,,173F2CF7-1679-4A1C-970D-08FA7A2C4DE3,1,,ENROUTE HIGH,0,0,0,1,0,0
-115.342872222,34.2065638890001,59,EF559BEB-984E-4EA3-8900-8C42E379B915,1,CADEZ INT*CA*K2,34-12-23.630N,115-20-34.340W,60,RAD,240,R,,,047A7E85-384A-4E30-93A0-7D901B31B540,1,4B91C5A6-D0D6-4989-8039-20A84D3E989C,ENROUTE HIGH,0,0,0,1,0,0
-86.019366667,34.345252778,60,BBAB993D-F07F-4BB6-9C57-C75B35BB365D,1,CALCO INT*AL*K7,34-20-42.910N,086-01-09.720W,283,RAD,103,L,,,8F5E2B9D-CBC8-4699-9B28-606D8D6D64B4,1,6E454FAE-BBB9-4750-8A61-AE767CB1E534,ENROUTE HIGH,0,0,0,1,0,0
-79.3392499999999,34.256030556,61,DB6A3546-B770-49F8-8619-A3DA0F8AF9D5,1,CARLI INT*SC*K7,34-15-21.710N,079-20-21.300W,88,RAD,268,R,,,80266556-9CF7-4976-82F8-ABC285D8B44B,1,DF82694C-FCCC-4AC5-9F6D-67CB1EEF85C6,ENROUTE LOW,0,0,1,0,0,0
-122.857738889,47.2938972220001,62,BFD80E05-607B-486F-B2DB-1AEAD0D9DC22,1,CARRO INT*WA*K1,47-17-38.030N,122-51-27.860W,230,RAD,50,R,,,DB8B2102-AC6C-4CB0-81A0-CCC781DFA067,1,60DE34F9-A9A0-4195-8AF9-11593F2CD158,ENROUTE LOW|SID,1,0,1,0,0,0
-96.9653111109999,38.1987888890001,63,721302C6-2A2B-4896-866B-5AA0CEE66027,1,CASSO INT*KS*K3,38-11-55.640N,096-57-55.120W,40,RAD,220,R,,,08B665A2-208A-4579-AE2C-6910212A2864,1,D1B9CDF8-29F5-484D-A062-0FF05968A717,AREA|ENROUTE LOW,0,0,1,0,0,0
-74.194291667,40.108708333,64,22CF5831-E4F2-4D9D-A330-E8E879AE44E4,1,CASVI INT*NJ*K6,40-06-31.350N,074-11-39.450W,122,RAD,302,L,,,8780BF67-1848-4E79-8677-6C008F2B2700,1,4A1497C6-922F-4528-8285-CE10E9C44A20,ENROUTE LOW,0,0,1,0,0,0
-84.459811111,29.3096194440001,65,23AA58FE-ACA1-447C-9FDF-3D9BBADF5255,1,CCORN WP*OG*K,29-18-34.630N,084-27-35.320W,310,OTHER,130,R,,,60D023F3-F1FD-4888-8204-3C8E72EADC03,1,,ENROUTE HIGH,0,0,0,1,0,0
-81.802280556,28.637127778,66,AB055F2D-79D1-4E90-8FDE-FFB0B848CFB0,1,CERMO INT*FL*K7,28-38-13.660N,081-48-08.210W,145,RAD,145,R,,,BA5F77B2-92B7-4764-B0F9-E31AD33CE4AD,1,8CE720E2-8183-4784-8710-F2C5C98596BD,ENROUTE LOW,0,0,1,0,0,0
-108.283222222,36.449480556,67,56A444EF-3239-4EDF-8C27-85467C171CED,1,CHACO INT*NM*K2,36-26-58.130N,108-16-59.600W,192,RAD,12,R,,,C4EE1F27-911C-42C5-8A0F-3771E878B8AF,1,6E8F1ED6-C82D-44D3-B475-20C388A624F0,ENROUTE LOW|IAP,0,0,1,0,0,0
-93.9641999999999,35.286988889,68,DD475458-A37C-454F-A99C-61D5B40250BC,1,CHARR INT*AR*K4,35-17-13.160N,093-57-51.120W,105,RAD,285,R,,,82A38921-0527-4888-950E-5A33830EEDE6,1,DEE831C5-9FFB-406F-8F06-D0DB5BA5A09A,ENROUTE LOW,0,0,1,0,0,0
-87.872066667,43.3363583330001,69,3F2D7396-5C74-415D-B762-5172BD84C427,1,CHDRR WP*WI*K5,43-20-10.890N,087-52-19.440W,330,OTHER,150,L,,,04FA6277-7337-4EAF-9CE8-BC283DF87518,1,,ENROUTE LOW|STAR,0,0,1,0,0,0
-107.24945,39.371011111,70,D97E46C0-8A8F-4CC1-BF36-11781DEC0F42,1,CIRRI WP*CO*K2,39-22-15.640N,107-14-58.020W,244,OTHER,64,L,,,47179522-744A-4400-8873-CBC765D738F7,1,,ENROUTE HIGH|ENROUTE LOW,0,0,1,1,0,0
-81.1631858329999,41.516928056,71,284E4FB9-3650-4CF5-82C5-5C21418ECFE4,5,CHARDON VOR/DME*OH,,,94,OTHER,274,R,,,20178492-6886-4D5B-A1A0-64BEA84D545A,0,20178492-6886-4D5B-A1A0-64BEA84D545A,ENROUTE LOW,0,0,1,0,0,0
-86.514902778,38.2302083330001,72,4CECAFBD-72B8-4F8A-A9FA-0B39F10B55D7,1,CHERI INT*IN*K5,38-13-48.750N,086-30-53.650W,279,RAD,99,L,,,35FBEC5A-9900-4E3F-8A54-7CB0A5EC1487,1,F96DE79E-AFA1-4C34-99FF-840C2D47E1E9,ENROUTE LOW|STAR,0,0,1,0,0,0
-94.245338889,35.589588889,73,7D50769B-65B5-40C9-B496-97A8EB4A2879,1,CHESO INT*AR*K4,35-35-22.520N,094-14-43.220W,359,RAD,179,R,,,449E84D7-B937-4D3C-9F20-8E3F6A4D51F7,1,DEE831C5-9FFB-406F-8F06-D0DB5BA5A09A,ENROUTE LOW,0,0,1,0,0,0
-119.428975,39.3523027780001,74,C111B407-51C9-427A-B345-86380BE85309,1,CHIME INT*NV*K2,39-21-08.290N,119-25-44.310W,227,RAD,47,R,,,C2F8CDF8-438B-4E27-9561-03DABCACFFC7,1,DA2DCAB6-62FD-4797-AF2F-A10FBA57C2A9,ENROUTE LOW,0,0,1,0,0,0
-85.903661111,40.017725,75,DF84B9CE-856B-4E2F-8C80-2CE2FC822D29,1,CLANG INT*IN*K5,40-01-03.810N,085-54-13.180W,244,RAD,244,L,,,53C7C88B-5A7D-4DA0-9ABD-69C15466E8CD,1,645B2B36-4C8D-4FF3-91CA-ADE299EBAC3D,ENROUTE LOW|STAR,0,0,1,0,0,0
-115.939405556,33.9028027780001,76,E06FF7F6-2184-4E6F-A441-A8056B8BF662,1,CLOWD INT*CA*K2,33-54-10.090N,115-56-21.860W,72,RAD,252,R,,,459E752F-B9BD-4271-8A3E-E10CA81A655D,1,BD2328B2-E791-4DE8-A265-DFA5932FF0D9,ENROUTE LOW|STAR,0,0,1,0,0,0
-135.631763889,57.3563972220001,77,5D37711E-8E56-44FB-8E56-A28E1C58051E,1,CLUCK INT*AK*PA,57-21-23.030N,135-37-54.350W,335,RAD,155,R,,,4876821E-1C57-43C2-96BC-131BD24EE9B0,1,4113B17F-A07B-4891-B5CF-EE317D31A7C5,ENROUTE LOW|IAP|SPECIAL IAP,1,0,0,0,0,0
-91.6712388889999,30.0491666670001,78,93A3D7AB-04A5-4E6C-B314-44A3EF32010C,1,CLYNT INT*LA*K4,30-02-57.000N,091-40-16.460W,114,RAD,294,L,,,0F369F25-A1DD-4A99-B1D8-75952E47190A,1,9108953F-C14C-411E-90BF-1CFB9CF3668F,ENROUTE LOW|IAP,0,0,1,0,0,0
-92.490122222,41.4341166670001,79,67BFA1A5-E348-4E7F-BDDD-AAC47DBA0D8C,1,CNOTA INT*IA*K3,41-26-02.820N,092-29-24.440W,177,RAD,357,R,,,A2CA2539-70F5-47AD-AFE5-E692C3981621,1,4AC3182B-7498-4E9A-B719-29A5235EC91D,ENROUTE HIGH,0,0,0,1,0,0
-74.695166667,41.136227778,80,01DB800E-5FA0-42D7-BD33-179226528B7B,1,COATE INT*NJ*K6,41-08-10.420N,074-41-42.600W,207,RAD,207,R,,,0641E619-A153-49AC-9007-1CD150F3AFA7,1,CC5A7357-2829-4342-8506-FFD166FE302B,ENROUTE LOW,0,0,1,0,0,0
-80.6941416669999,42.1566361110001,81,4078E615-1DAC-4157-A4FA-C8BE9E0D42FF,1,COHOW INT*OH*K5,42-09-23.890N,080-41-38.910W,276,RAD,96,R,,,63E1F9D6-30DF-4BE4-9DA0-0CCF83E9DF97,1,5D46DF9C-F0C5-4770-A469-30218FB4C48C,ENROUTE HIGH,0,0,0,1,0,0
-120.870019444,38.8389722220001,82,5477B6CE-6D9E-437C-AEDC-DFAB84BC63C3,1,COLOM INT*CA*K2,38-50-20.300N,120-52-12.070W,218,RAD,218,L,,,E642104E-3230-4A93-8789-75E286482309,1,1D9693B9-736E-4C58-B3E1-F70927A1F682,ENROUTE LOW,0,0,1,0,0,0
-83.103916667,39.7229722220001,83,C7D6553D-9A67-4817-908C-F06C7FE0E941,1,CORDR INT*OH*K5,39-43-22.700N,083-06-14.100W,229,RAD,49,R,,,45BA9842-A09C-4A97-AFC4-05ED605E3BCB,1,91145540-F3C2-4264-B763-6B3A8FBB7464,ENROUTE LOW,0,0,1,0,0,0
-112.219269444,41.5621166670001,84,908B5BBA-93DB-4A6C-B25B-00728A3BA1E0,1,CORIN INT*UT*K2,41-33-43.620N,112-13-09.370W,331,RAD,151,R,,,34B8EA5B-01AA-4620-965A-824EA2DA8F56,1,D13BB8D9-4934-4668-85B3-BBDBE420AB9C,ENROUTE LOW,0,0,1,0,0,0
-74.4316258329999,39.817338056,85,80BA8F71-B1F0-41B9-8B7D-F08409D0A4D5,1,COYLE VORTAC*NJ,,,67,RAD,247,R,,,BC6D074E-DF87-4085-901A-81835E6ECAD0,0,BC6D074E-DF87-4085-901A-81835E6ECAD0,ENROUTE LOW|IAP,0,0,1,0,0,0
-87.5238027779999,41.420863889,86,F9834DB3-9995-4DEE-8C0B-04B914F1ACF8,1,COKED INT*IN*K5,41-25-15.020N,087-31-26.150W,156,RAD,336,R,,,1273A51F-8D13-42E1-86E2-40B7F00A980D,1,26826A45-DC26-43AC-B579-F1771B97C77A,ENROUTE LOW,0,0,1,0,1,0
-103.966897222,39.122588889,87,352A44AE-A2B7-422C-9DF7-284A004107D0,1,CONAL INT*CO*K2,39-07-21.320N,103-58-00.830W,132,RAD,312,R,,,EF2311EB-A70A-4E67-8E96-81798107BB7E,1,FD60B185-58F2-4976-BE2C-A0A359ABF340,ENROUTE LOW|STAR,0,0,1,0,0,0
-97.201016667,28.060711111,88,AD1DB544-C805-46AF-90F8-5C82AFB0456C,1,COPAN INT*TX*K4,28-03-38.560N,097-12-03.660W,45,RAD,225,R,,,65A847FF-4857-4F37-81C1-48732016DBA3,1,E7765FEF-1932-4F98-9697-327AFAC1ED12,ENROUTE LOW|IAP,0,0,1,0,0,0
-79.859433333,34.370469444,89,EC09071D-32F4-422B-B0D5-A47D961F9574,1,COPEL INT*SC*K7,34-22-13.690N,079-51-33.960W,312,RAD,132,L,,,62494384-C60A-4A9F-A7C3-DB9E481FBFF3,1,DF82694C-FCCC-4AC5-9F6D-67CB1EEF85C6,ENROUTE LOW,0,0,1,0,0,0
-112.747527778,46.032,90,0BC61C7F-B7E7-4E08-9CF7-3B19EA1902CA,1,COPPERTOWN VOR/DME*MT,,,346,RAD,166,L,,,AEAAA753-1B0C-411F-AA99-88DED3AE2473,0,AEAAA753-1B0C-411F-AA99-88DED3AE2473,ENROUTE LOW|IAP|SID,0,0,1,0,0,0
-112.400358333,36.0839611110001,91,9E0D0DC2-71CC-4EFD-B6F4-73F2A0B283A0,1,CORKR INT*AZ*K2,36-05-02.260N,112-24-01.290W,349,RAD,169,R,,,DF5D5E41-82C2-4526-9876-935414077661,1,0FA805DD-B79E-41ED-8F0A-59FE608E5B32,ENROUTE HIGH,0,0,0,1,0,0
