X,Y,OBJECTID,GLOBAL_ID,CARTOANGLE,ENRINFO_ID,DISTANCE1,DISTANCE2,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-118.463354202,45.024171021,34,E3E291A5-E36E-47A0-866C-9C3C3DC60AD0,109.4,CA70E3A0-4B89-45DE-880C-8EDB1FBE924E,119,30.02,0,0,1,0,0,0
-117.757152672,33.998431119,35,E660BEE1-1D20-43D0-85B4-8773367BB0B4,110,127132E9-E2BA-4392-845A-D95894B1D27D,39,12.31,0,0,1,0,1,0
-108.91648416,40.490798193,36,E526606E-B4AB-4C05-87A2-6583D5CDF4CE,356.25,C61DB126-E8A7-43BA-AE56-E91349C14541,86,66.08,0,0,1,0,0,0
-108.519776424,45.0720649140001,37,C9329205-4409-44D7-877A-FF4FBDC681B8,354.46,CBB8585A-51FF-416C-A21E-11F5B604C898,97,44.42,0,0,1,0,0,0
-79.3384031589999,33.388154679,38,31D7338B-3A11-4390-8839-97C0F579FD7B,49.8,E72CAFD3-7D65-4A7B-A80E-0FD47DB3BAE7,46,39.96,0,0,1,0,0,0
-120.280434702,39.4153634840001,39,17F58896-EA4E-43EC-87ED-2DF511FF1387,75.24,487A6BFE-4986-4A60-A4B2-279944033D10,84,29.83,0,0,1,0,0,0
-113.949273094,35.2538795660001,40,76129B45-816A-45B9-B97F-D835396D57FE,41.36,0416C2D6-CB07-4825-A660-3C1AB5AD6E48,39,29.82,0,0,1,0,0,0
-115.728492745,34.9897490540001,41,4DC691B0-A4F5-4F41-91C7-F09D84AD71D4,72.12,08D4B2FF-AB77-4F03-8831-8D7F2A2E5595,38,28.52,0,0,1,0,0,0
-114.375547564,35.376889234,42,1DB27CD9-DAB4-4617-A61C-47E1E26728C1,69.26,C4F990B0-8E78-44D5-A3AD-A803BBD3D2A6,42,43.35,0,0,1,0,0,0
-93.44375575,46.397664976,43,1B17D7F3-6899-43EC-9142-E8B6FFE0377D,177.63,10421915-7314-423C-BF26-FCF0B7D1900E,46,75.19,0,0,1,0,0,0
-122.588784891,40.9408182540001,44,5C0E0804-B5E2-4430-91F6-0F571618E5BC,342.4,6856027D-FEF3-4754-B280-320F44338BEE,53,32.07,0,0,1,0,0,0
-112.409756712,40.3505543210001,45,E3F98237-D177-47F3-B925-993E2AD9B874,4,FD8EC77A-D15E-478C-A62D-E90EC60F94A3,63,110.92,0,0,1,0,0,0
-79.164675796,34.013014733,46,4F8BD3E5-EA68-4112-9BB5-AF3D796A73A8,298.62,532F6B24-FA96-43A1-AC57-98AE28AAC07A,25,27.85,0,0,1,0,0,0
-120.335778516,34.7970520380001,47,B6A386A6-EDDC-4544-B570-AA9C031847B8,322.8,6AB9F382-74A0-4867-9024-0BA99F8E2C03,20,34.35,0,0,1,0,0,0
-116.120603972,35.0583711360001,48,8F690AF1-00B7-416C-BD13-4F73FB5FBDC1,47.07,23983FDB-7C3F-4874-9234-C6BF930BC022,23,83.36,0,0,1,0,0,0
-94.0683861109999,30.1737805560001,49,97ADD82B-C988-4A43-9971-3FF96969DB06,91.68,0D735CA5-7F93-4146-B93A-11943F06760C,30,50.12,0,0,1,0,0,0
-80.798379569,36.419173953,50,40FB40BD-8468-4B91-950B-47DCD4BDC7E8,5.76,50D6A5D5-C3AB-47A1-B878-1842D0982B9E,74,40.27,0,0,1,0,0,0
-117.547171371,34.256274268,51,316CBA84-18E4-456C-8E07-0CABF3783472,48.2,23AB92FE-0B37-4616-96CA-4792F973A10E,16,63.97,0,0,1,0,0,0
-77.9552395649999,39.9711497270001,52,817D48CD-C521-4762-9973-745834B044CF,90.27,271A9746-10BD-4425-8199-C007EFFE2FC4,132,162.97,0,0,0,1,0,0
-107.110214578,43.589902851,53,DBC22387-DE0F-4B7A-AA91-75A507A92A4D,153.5,9161F14E-A3D0-4AA0-BEC7-A108EE563119,149,114.56,0,0,0,1,0,0
-117.74364357,45.8395039850001,54,5A8D8E4C-FEF2-494E-A909-39176D1B88D1,2.58,1620072B-048F-4CF4-AEAD-114108B89D64,60,103.68,0,0,0,1,0,0
-106.818457051,41.081374173,55,C0B24D59-B2F3-4A52-BC03-FCEBB36BD11F,106.35,F64C2F08-887A-48AF-8A27-A814E4C6788B,104,128.17,0,0,0,1,0,0
-110.982946589,42.3034891570001,56,7965FDCE-3384-43CD-98F0-8141F6A38C12,114.11,5659B796-2F56-43C8-B618-B41AC61CC439,82,97.35,0,0,0,1,0,0
-110.982011918,40.672151044,57,46FBA6D5-FC4C-4952-BF65-9EA564516918,102.86,960D1FB8-D4EF-4994-8882-F7A68E762135,47,144.62,0,0,0,1,0,0
