OBJECTID,GLOBAL_ID,DISTANCE,STARTPT_ID,ENDPT_ID,ENRINFO_ID,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
22,630F4512-1C05-466D-97E1-DB0B39A741AB,81.22,86E5DAA5-3BB7-400B-8416-ED2DA088815F,EF47D23E-3290-408F-9566-B6F9622F8A97,C5859B72-0E3B-47AE-BBC4-CAF61A95E224,0,0,0,0,0,1
23,0A08A16C-0877-4E0C-81EB-B741B3DDDC8D,72.48,43F2E69A-5E5B-4981-87DF-DA35F8A0C32F,BB584036-C9AA-43BB-85EF-58207E7C8B72,1E91C81C-753F-4001-961F-EA7E08C6E45F,0,0,0,0,0,1
24,6A2704B6-264B-4CE2-B6FF-9627BA57DC1C,546.5,BB584036-C9AA-43BB-85EF-58207E7C8B72,E7AB16ED-76E4-4F0E-8012-3AAEEBD56C95,1E91C81C-753F-4001-961F-EA7E08C6E45F,0,0,0,0,0,1
25,D08B83FE-EF0C-48E1-A760-2A9A1AE21F7D,536.58,E7AB16ED-76E4-4F0E-8012-3AAEEBD56C95,8D446968-F6C2-42EC-BFF4-B97B157554C9,1E91C81C-753F-4001-961F-EA7E08C6E45F,0,0,0,0,0,1
26,29C36EF7-906B-45B0-9996-E7FED273F2C5,536.46,8D446968-F6C2-42EC-BFF4-B97B157554C9,21D66488-27E8-4BED-AD37-08D36E4E4F79,1E91C81C-753F-4001-961F-EA7E08C6E45F,0,0,0,0,0,1
27,206586D0-36E6-46C2-A3C9-F83344907745,152.55,BE6CC4FA-144E-4976-8E92-90797EC7A224,593499C5-100F-449B-86D6-7AC2107CC459,94692E9F-B534-43FD-9373-869D66B514CC,1,0,0,0,0,0
28,C5C2842C-FB66-485A-A05A-24AAF09F635B,197.81,593499C5-100F-449B-86D6-7AC2107CC459,A9683913-A701-4BE7-B031-455566522C99,C3873E1F-E95E-4F84-82E6-1E415D7F4CE0,1,0,0,0,0,0
29,2BBE376C-7FD4-4703-AA3E-FA2B8CD8AD5A,86.43,A9683913-A701-4BE7-B031-455566522C99,247A110F-EB16-48E7-AB9F-0564E7BFB7BF,5E045141-8D3C-4170-B7DB-9F2D84CFEBFD,1,0,0,0,0,0
30,4CB9C103-E786-4F1C-9193-B24F903FCC3D,156.57,247A110F-EB16-48E7-AB9F-0564E7BFB7BF,32E772AB-7CF5-48D0-84EF-5D3D6B11ADD5,B90CB3BD-2199-4FF7-8CD2-77AEC7D827C0,1,0,0,0,0,0
31,C25CCB6D-5207-44C0-B210-E03789F90176,160.12,32E772AB-7CF5-48D0-84EF-5D3D6B11ADD5,59FE9071-3439-4F5C-B475-DE2A429EE041,D1F83A2F-5986-4F85-B4F0-A6A1715BBA53,1,0,0,0,0,0
32,EC22A427-892A-4BCF-A661-E22F77ED2589,48.19,A1B6047F-4AAB-4D59-B6DD-B4B31225A37E,AF63623A-C962-4606-96E7-7F0D56A32653,992484BB-1D6A-4649-B8F7-BCC99AA4ADE4,0,1,0,1,0,1
33,8BF28A98-9521-414D-834B-BBED548A7595,286.83,AF63623A-C962-4606-96E7-7F0D56A32653,EE08A6C1-4DC7-4039-B67F-545BCD41D04A,992484BB-1D6A-4649-B8F7-BCC99AA4ADE4,0,1,0,1,0,1
34,1F0B6111-9840-475B-890A-2F39E8B08ACA,172.29,EE08A6C1-4DC7-4039-B67F-545BCD41D04A,D76A7F6D-E3D1-465D-85BF-8E559023B0AA,992484BB-1D6A-4649-B8F7-BCC99AA4ADE4,0,1,0,1,0,1
35,624A086B-6CB7-4FCF-89F2-05C43D795B10,746.02,D76A7F6D-E3D1-465D-85BF-8E559023B0AA,BDC4B4D5-E410-4894-9940-6ED2B83DD071,992484BB-1D6A-4649-B8F7-BCC99AA4ADE4,0,1,0,0,0,0
36,4E6F51FA-14A6-4C15-9258-317F173F1A1B,533.72,0377237E-98CD-436F-A1AE-070434EFBC36,4154C7EB-B85F-4AD7-8900-78E6D54D3A68,776F9F32-3604-4035-9F4F-45E073017F0A,0,1,0,0,0,0
37,8CFB4394-E676-4508-AC24-77247124D9DD,374.36,4154C7EB-B85F-4AD7-8900-78E6D54D3A68,63760ACA-A950-4711-B2CC-0EA3B28C43DF,776F9F32-3604-4035-9F4F-45E073017F0A,0,1,0,0,0,0
38,C7679155-5A75-4BED-89BF-B16CA0AF78F6,399.34,B4739393-6DA0-40B9-833F-90152A4F814E,B9248B5F-C187-4CD5-9152-0AC5E3CCB1A7,91E382A0-7326-4998-A461-4EA77A0448BE,1,0,0,0,0,0
39,5B7975D5-D8AB-48F1-A10F-ABFDF72E0E99,276.11,63760ACA-A950-4711-B2CC-0EA3B28C43DF,70EEE315-F975-4C06-AFE1-2F3BB37121E7,881A9724-AB8A-4528-A28E-48A51CD2D698,1,0,0,0,0,0
40,6BE932E0-1DA8-4622-AFEC-50AC29D85A82,273.07,70EEE315-F975-4C06-AFE1-2F3BB37121E7,CDD3DF0E-3634-4382-AFD4-70C816068591,D225478E-A3BF-41EC-AB22-A75B9CE8EB30,1,0,0,0,0,0
41,5847E69D-D1CF-4891-96B8-C267DC2F4E77,174.72,CDD3DF0E-3634-4382-AFD4-70C816068591,DB7A617F-345A-4096-BAC8-B3F75133E4BC,A13A91DB-DF3A-4741-BB8E-EE6DBD8B1188,1,0,0,0,0,0
42,D6F2F02E-838E-4AB3-AA77-8CCC7043ABD1,81.67,6BA6AB0A-4DF5-4142-8DF6-A40C36624720,F37D5E2E-78C7-46F3-80E4-2F2A40B083AA,3DB92F2B-0E0F-4342-8F99-39D24230378F,1,0,0,0,0,0
43,4F1EB530-A484-4764-8B32-2E97FAC99F16,74.41,F37D5E2E-78C7-46F3-80E4-2F2A40B083AA,A111DAFD-4DAF-4ED7-838F-DF61855D0D81,3D30B8A6-1C50-44C0-80F6-F6ADAC2D5273,1,0,0,0,0,0
44,D42B0AC6-949B-4A02-B1F2-BA273D42BAD3,131.69,A111DAFD-4DAF-4ED7-838F-DF61855D0D81,6E74703C-DD47-4CCA-996A-CCDA15636A3B,7CE5AE41-793C-4548-801F-2B29FC2990B4,1,0,0,0,0,0
45,850865C0-EEDA-4A58-8DE2-459AA9AA2B54,52.74,6E74703C-DD47-4CCA-996A-CCDA15636A3B,FBC1F10F-325A-4ABE-82D8-8C5B9C6A961A,8D5C357F-56CE-43EE-825D-0600CE6C350B,1,0,0,0,0,0
46,50684FE1-5CE5-4A9A-A79D-A501B020D02F,309.44,E61FE475-9A74-4859-A410-FFEB3A901F87,BE6CC4FA-144E-4976-8E92-90797EC7A224,C0D26AF6-2791-44B9-BB0D-983F4D72FFE0,1,0,0,0,0,0
47,37193AE8-8360-440D-96F5-04DF5EBF178B,108.55,247A110F-EB16-48E7-AB9F-0564E7BFB7BF,64C44670-9797-4BEE-AFF6-56EAAD4A451D,660EFCA8-7F12-45D6-B59B-4F30775ACC70,1,0,0,0,0,0
48,9574DFFC-EE26-4ADB-B9C5-B9E1F1A3F5B9,344.8,5B533693-B935-4EE6-8206-38C648404B1D,B4739393-6DA0-40B9-833F-90152A4F814E,67902572-E78F-44D1-A323-3C8F70161635,1,0,0,0,0,0
49,D4B09921-D530-4752-82AD-A8ABBA5A5E53,387.44,B4739393-6DA0-40B9-833F-90152A4F814E,0D6C1492-F09F-480A-A94B-A0ABAD3E88CD,B142BFE3-6640-4D22-AC08-879A23816966,1,0,0,0,0,0
50,E9C1D679-A92A-410A-80F3-998E1B9FF81C,88.56,0D6C1492-F09F-480A-A94B-A0ABAD3E88CD,56477A2A-158A-49A4-AD61-9E7DFE66344B,E405A701-4724-4E1B-ABD2-45B25A4F4005,1,0,0,0,0,0
51,4FDB3921-4600-4F7C-BE08-1F1670E22807,167.24,CDD3DF0E-3634-4382-AFD4-70C816068591,A00305C2-17CA-4F03-805C-1D4E646FDD86,CA2DEE27-F513-4E68-B72D-4FD77BA75317,1,0,0,0,0,0
52,3F7D645C-C4BC-4EE8-B366-E2CDF612E24D,118.36,A00305C2-17CA-4F03-805C-1D4E646FDD86,593499C5-100F-449B-86D6-7AC2107CC459,CA2DEE27-F513-4E68-B72D-4FD77BA75317,1,0,0,0,0,0
53,6C979918-D651-41AE-ABE6-5CF317387E10,177.66,593499C5-100F-449B-86D6-7AC2107CC459,204022C5-2BBD-417D-8E1D-5D1E51BE7B3A,DBA80F42-918F-4F26-9C5C-5B6747024A29,1,0,0,0,0,0
54,666C7635-15C8-42E6-931B-2DC553B2A224,29.12,4262C597-6E25-4000-8C18-48AF55B7E52E,91EF9738-B6B2-4F4B-88FA-B773107ACFBD,C2FB09D6-BE96-4EB2-899E-068CBDCA162D,0,0,0,1,0,0
55,1A934139-7276-4A0C-A022-D8B17EAE0AD7,65.61,91EF9738-B6B2-4F4B-88FA-B773107ACFBD,041ED958-125B-408F-B3F0-0522A3BCE55C,1BD7C577-F26C-4B94-88B8-4C10722A143E,0,0,0,1,0,0
56,3C4DD8F9-7D5A-4738-B145-283014998B8E,33.82,041ED958-125B-408F-B3F0-0522A3BCE55C,C3280A36-C0AE-4394-A343-25BB0B82A896,19961033-3D8C-4BD3-B8FC-996634338BB6,0,0,0,1,0,0
57,BA39A125-2131-4D2F-AC30-1826E84EB432,94.34,C3280A36-C0AE-4394-A343-25BB0B82A896,F2B169C6-CC98-4177-8184-5FB010EB11A0,DEADCD4B-66C9-40F8-BAF1-34688ECD745C,0,0,0,1,0,0
58,91F31B7D-D599-413A-BFA9-F5B4D80583F0,165.08,F2B169C6-CC98-4177-8184-5FB010EB11A0,549AE91F-7BDC-42EE-AE96-F89F6A196F78,1CAB12FD-770E-4609-9537-EC4BE1C47395,0,0,0,1,0,0
59,A49AC95B-27EC-43B4-8CB8-0FC0A772CCC2,142.24,549AE91F-7BDC-42EE-AE96-F89F6A196F78,055FACDF-C464-4C64-88C4-16ED9CC2E311,1E712EAC-8AA8-495E-9070-9B8C94FC61E9,0,0,0,1,0,0
60,A4330A74-02EB-4002-922A-F24C2D40E87F,146.01,055FACDF-C464-4C64-88C4-16ED9CC2E311,F7EFC7D5-88F7-4A0F-9D0A-3184917ADD7B,71935FAE-4C9F-4DC1-9F29-6B1CD13451A3,0,0,0,1,0,0
61,7DE373B1-E7AB-4563-9DF6-BAA5FF619E07,196.57,F7EFC7D5-88F7-4A0F-9D0A-3184917ADD7B,F507B7D4-C6B6-4162-A1E5-C9B169BA8071,DED2EE99-7810-4FA9-8986-D5847124F8FE,0,1,0,1,0,0
62,B27A18BB-41E5-4E51-8866-5A6CA6C00B8B,101.96,F507B7D4-C6B6-4162-A1E5-C9B169BA8071,1E54FBB9-6F59-49F8-B81A-B12BAD389031,7BA259FE-A96F-487E-8681-56911895D17F,0,1,0,1,0,0
63,0157B999-08E1-4ABE-B857-7FA9CE50F2B1,133.28,041ED958-125B-408F-B3F0-0522A3BCE55C,0D5E6D95-9DA4-448A-A755-10F7DE0242D8,B5B1CB71-7E72-4C86-BA1E-4C9EC1D59451,0,0,0,1,0,0
64,918A0A53-F780-4919-B519-BC942F6CE4B4,212.4,0D5E6D95-9DA4-448A-A755-10F7DE0242D8,6061AA1C-600B-4ABB-8BFB-04FE33F3270E,D2EAB982-119A-4C1D-929C-5A353FDCCB23,0,0,0,1,0,0
65,F8C8813D-2FC3-4373-9549-C673FB9E03E8,198.82,6061AA1C-600B-4ABB-8BFB-04FE33F3270E,4AAD14A6-858A-47F2-A39A-764720EDA54D,9292794E-2061-4E15-9D0E-F27ECF208FBE,0,0,0,1,0,0
66,E2E17D80-E0FB-4B3B-B6CD-C0F99BC7DC06,113.91,4AAD14A6-858A-47F2-A39A-764720EDA54D,85D29942-5D66-41EE-824E-D89F492B6ACA,07F92E31-B16E-49F1-AB42-13B7FDD37A4D,0,0,0,1,0,0
67,C0C85487-F41F-425E-AE7E-64E16BDDD1F3,135.2,85D29942-5D66-41EE-824E-D89F492B6ACA,EB0575ED-F57B-4607-88F2-9992972121D5,AF4708B9-098F-4B4B-B8BA-073D47920404,0,0,0,1,0,0
68,3A6FDF75-8826-48CD-A8F7-C1239E476204,195.41,EB0575ED-F57B-4607-88F2-9992972121D5,A10BA6EC-FB5B-41D9-8827-52770458E3DA,2704C761-030D-4B42-97F4-00BE9AA1A7DB,0,0,0,1,0,0
69,19311ACB-43A0-4B1E-87D6-559C292FBA92,91.92,1C2564AD-4E79-447C-B4CC-DD31DF8AF963,31341279-7F2C-4782-82A8-18DAE98B377D,E904F398-3E14-42D7-BF7A-915E37AFAEFE,0,0,0,1,0,0
70,C52622AB-C012-48AB-B2F0-4CF7EAF1962C,110.74,041ED958-125B-408F-B3F0-0522A3BCE55C,CF0B0FDE-403B-4CDD-8619-226951EA6CC0,E6940DCD-981F-413A-81E6-5CC90A57C167,0,0,0,1,0,0
71,567BCF1A-B273-45AD-B063-E1472AEC1086,96.46,CF0B0FDE-403B-4CDD-8619-226951EA6CC0,B3C9CA65-28F8-429F-8B2D-082845681970,ACAF9D50-8245-467C-BB70-7FAEE96C7255,0,0,0,1,0,0
72,FF6C8316-76B2-43E7-A11C-243B552B2176,168.81,B3C9CA65-28F8-429F-8B2D-082845681970,DA2CBB49-6E2F-4165-8E2E-A3639853C3EC,C1DA0A87-826C-41A8-98CD-EF79F22994AF,0,0,0,1,0,0
73,939ADAF8-DF8E-414F-B13D-91F603260A54,249.78,DA2CBB49-6E2F-4165-8E2E-A3639853C3EC,8206147C-423C-4F5C-81FA-C41E9D5BF1B6,2E113533-8314-4978-B3DB-6DCC2199DD8D,0,0,0,1,0,0
74,0A1D198C-48C6-441D-BD64-65BA72E55156,79.18,4C05758F-13AE-4DB2-A98B-316A12E6BE07,209563D2-DFFB-4F8C-8E26-03F70976B9BD,E3DAA923-DBA9-4908-B6D4-DE706F0EA8E2,0,0,0,1,0,0
75,9E64FA9F-8BA7-44A0-9F54-3154B0DEC92C,246.38,209563D2-DFFB-4F8C-8E26-03F70976B9BD,B6728BE9-C48E-4A08-9B0F-303BBC478AE5,37511284-2495-4A01-AF5A-38BCDF897FF6,0,0,0,1,0,0
76,E7CD13A9-3800-4874-AB3E-5426CA6EF316,263.67,B6728BE9-C48E-4A08-9B0F-303BBC478AE5,6487AD6D-35EF-4E21-BFF6-30D91100EAE3,D6DEF460-2045-4D39-954B-E9CD25B4E5D4,0,0,0,1,0,0
