OBJECTID,FAA_ID,ICAO_ID,STP_TYPE,SURFACE,RWY_END,Shape__Area,Shape__Length
242,LGA,KLGA,01,1,04,5.8663999880082e-08,0.00134716186158828
243,LGA,KLGA,02,1,22,4.77322828373872e-07,0.00286047405594998
244,LGA,KLGA,01,1,22,4.85113105241908e-08,0.00122870020210159
245,LGA,KLGA,02,1,13,5.47669742445578e-07,0.00322693553385168
246,DTW,KDTW,01,1,03R,9.18608066058368e-07,0.0039805540518793
247,PHL,KPHL,01,1,27L,7.18151631285248e-07,0.00345530947852452
248,PSG,PAPG,01,1,05,5.07642198499525e-07,0.00304643445931731
249,PSG,PAPG,01,1,23,5.07097865920514e-07,0.00304462673777548
250,AUS,KAUS,01,1,18R,2.60217098002613e-06,0.00738741947680965
251,AUS,KAUS,01,1,36L,2.58542740994017e-06,0.00738354903723016
252,AUS,KAUS,01,1,18L,6.07239599048626e-07,0.00330082139547447
253,AUS,KAUS,01,1,36R,6.10451934335288e-07,0.00330894180165414
254,MSY,KMSY,01,1,02,9.94843503576703e-07,0.00454392048295413
255,MSY,KMSY,01,1,29,6.82044174027396e-07,0.00359743213050306
256,EWR,KEWR,01,1,11,6.46675744064851e-08,0.00120927894442995
257,EWR,KEWR,02,1,11,3.08349171973532e-07,0.00225815463197635
258,EWR,KEWR,01,1,29,1.38699988383451e-07,0.00160823738909267
259,EWR,KEWR,01,1,22R,1.32206923808553e-06,0.00510005694915582
260,EWR,KEWR,01,1,22L,7.34175500838319e-07,0.00346992439150414
261,BDL,KBDL,03,1,06,2.08369965548627e-06,0.00783773127021326
262,BDL,KBDL,03,1,24,5.15833789904718e-07,0.00293747614516892
263,BDL,KBDL,03,1,15,1.69354962054058e-07,0.00185474632468088
264,FLL,KFLL,01,1,28R,7.11440861778101e-08,0.00143598038603683
265,FLL,KFLL,01,1,10L,5.15475221618544e-07,0.00291191612286885
266,FLL,KFLL,02,1,10L,7.5715797720477e-07,0.0037150484623212
267,FLL,KFLL,02,1,28R,4.63979404230486e-07,0.00274757324760211
268,FLL,KFLL,01,1,28L,6.5040467234212e-08,0.00123764812095812
269,FLL,KFLL,02,1,28L,8.34645334180095e-07,0.00441302662402473
270,FLL,KFLL,01,1,10R,6.24104359303601e-08,0.00123631757928703
271,EVV,KEVV,01,1,36,2.96979806080344e-07,0.002181393287389
272,EVV,KEVV,01,1,18,2.96494818030624e-07,0.00217875116385611
273,EVV,KEVV,01,1,22,2.88298906525597e-07,0.00218110237596214
274,EVV,KEVV,01,1,04,2.95209474643343e-07,0.00221779118398862
275,PBI,KPBI,02,1,14,3.56642885890324e-07,0.00240188702206344
276,PBI,KPBI,01,1,14,5.76710590394214e-08,0.00128575770504879
277,CDV,PACV,01,1,09,7.70405677030794e-07,0.0042368589420763
278,CDV,PACV,01,1,27,8.19903107185382e-07,0.00445864463543784
279,CDV,PACV,02,1,27,6.34018761047628e-07,0.00370647279501648
280,FLL,KFLL,02,1,10R,8.33455715110176e-07,0.00435674368623237
281,CRW,KCRW,02,1,23,5.21744823345216e-07,0.00308051939698128
282,CLT,KCLT,03,1,36L,8.22106812847778e-07,0.0037042605230672
283,CLT,KCLT,03,1,18R,8.29277041702881e-07,0.00371971410068649
284,CLT,KCLT,03,1,18C,2.70977579930332e-07,0.00208372333408199
285,CLT,KCLT,03,1,18L,2.78792413155315e-07,0.00211408122778885
286,CLT,KCLT,03,1,36C,2.82851488009328e-07,0.00213179194884541
287,JFK,KJFK,02,1,04R,9.31578142626677e-07,0.00401130477706674
288,JFK,KJFK,01,1,31R,1.22033407023991e-06,0.004611761714888
289,JFK,KJFK,01,1,13L,5.34196260559838e-07,0.00296264799355668
290,JFK,KJFK,01,1,22R,5.78402932660538e-07,0.00316503462316348
291,JFK,KJFK,01,1,31L,1.14100453174615e-06,0.00447322055173111
292,BDR,KBDR,01,1,06,4.28642579208827e-08,0.00108164985785853
293,BDR,KBDR,01,1,29,5.31720161234261e-08,0.00113760112239855
294,BDR,KBDR,02,1,06,3.61642150892294e-07,0.00260229486738084
295,MSY,KMSY,01,1,20,1.01762384474569e-06,0.00456091547829696
