OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,TWY_OPER,Shape__Area,Shape__Length
11561,SJC,KSJC,UNK,1,2,5.80283540330129e-07,0.00782460728427497
11562,SJC,KSJC,J_W,1,2,6.18375172960813e-07,0.00321948042954171
11563,SJC,KSJC,UNK,1,2,6.81215624354081e-07,0.00847929247963623
11564,SJC,KSJC,W,1,2,7.36155925551429e-07,0.00655275264332861
11565,SJC,KSJC,V3,1,2,3.763807399082e-08,0.000849497138296344
11566,SJC,KSJC,V,1,2,6.61361809761729e-08,0.00114393238723925
11567,SJC,KSJC,V4,1,2,6.96800270816311e-08,0.00117730191565644
11568,SJC,KSJC,G_V,1,2,1.63878630489835e-07,0.00182834625730528
11569,SJC,KSJC,V_V4,1,2,1.84643340617185e-07,0.00184771253490754
11570,SJC,KSJC,V_V3,1,2,1.88324975169962e-07,0.00193449135809413
11571,SJC,KSJC,V3_UNK,1,2,2.03679974219995e-07,0.00197083394117917
11572,SJC,KSJC,V,1,2,3.09601091430523e-07,0.00419508062306997
11573,SJC,KSJC,UNK,1,2,4.62595835415414e-07,0.00616847314368665
11574,SJC,KSJC,V,1,2,6.14788859820692e-07,0.00797387317870813
11575,SJC,KSJC,UNK,1,2,9.73700480244588e-07,0.00900668995040323
11576,SJC,KSJC,C,1,2,2.59575143013793e-07,0.00258841625185871
11577,SJC,KSJC,L_Z,1,2,2.60256319193491e-07,0.00223745453716148
11578,SJC,KSJC,V,1,2,2.71633780357661e-07,0.00379622263401515
11579,SAN,KSAN,B_B4,1,2,2.64499021795928e-07,0.00214004523029893
11580,SAN,KSAN,B,1,2,4.77716412206064e-07,0.00500768277437435
11581,SJC,KSJC,F,1,2,4.42794777859106e-07,0.00398801322711578
11582,SJC,KSJC,D,1,2,4.4341519124351e-07,0.00405269270504468
11583,SJC,KSJC,C,1,2,4.43617053518669e-07,0.0040200148782678
11584,SJC,KSJC,H,1,2,4.36384967546916e-07,0.00384587934387805
11585,SJC,KSJC,J,1,2,4.38274587946305e-07,0.00380645838209657
11586,SJC,KSJC,UNK,1,7,6.11854829912772e-07,0.00475278290030733
11587,SJC,KSJC,B,1,2,1.97605004441034e-07,0.00234519333401777
11588,SJC,KSJC,A,1,2,2.42014647138661e-07,0.00267139178758613
11589,SJC,KSJC,A1,1,2,2.52954582335985e-07,0.00243979991500318
11590,SJC,KSJC,N,1,2,2.32569861795956e-07,0.00265673599280359
11591,SJC,KSJC,M,1,2,1.69130019669894e-07,0.00201147060512402
11592,SJC,KSJC,L,1,2,7.58375256246224e-07,0.00366701120176273
11593,SJC,KSJC,A,1,2,5.80423771753824e-08,0.00106032688092023
