X,Y,OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,WKHR_CODE,WKHR_RMK,ELEVATION,FREQUENCY,MAGVAR,MAGVAR_DAT,NAV_TYPE,TYPE_CODE,NAVSYS_ID,AWYSTRUC,CHANNEL,STATUS,VOICE,SLAVEVAR,PRIVATE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-123.023861111,48.512138889,1841,46F92671-AE3D-4FBC-A6A2-3932C7FD33F4,FHR,FRIDAY HARBOR,48-30-43.689N,123-01-25.904W,H24,,41,284,17,,1,,093CA916-23DC-4F53-A880-01CFB0881F2A,,,1,0,17,0,1,0,1,0,0,0
-124.149268889,46.947040556,1842,B4A23AAA-929F-4407-98AB-4DF308F5818C,HQM,HOQUIAM,46-56-49.346N,124-08-57.368W,H24,,10,117.7,19,,3,,948CC80D-1942-415F-9710-486252D7D980,0,,1,0,19,0,1,1,1,1,0,0
-124.149268889,46.947040556,1843,0FB5FE0A-9352-4F6B-8142-B42CFFCF9C0B,HQM,HOQUIAM,46-56-49.346N,124-08-57.368W,H24,,10,117.7,19,,4,,948CC80D-1942-415F-9710-486252D7D980,0,124X,1,0,19,0,1,1,1,1,0,0
-119.316816667,47.2108633330001,1844,985623E7-4643-4BC1-94C0-4CAE7552F17C,MWH,MOSES LAKE,47-12-39.108N,119-19-00.540W,H24,,1193.4,115,18,,3,,20F9544B-10ED-454C-B242-E35992464ABB,0,,1,0,18,0,0,0,1,1,0,0
-119.316816667,47.2108633330001,1845,3F918FB9-35A6-48AE-B7D9-72C002585C57,MWH,MOSES LAKE,47-12-39.108N,119-19-00.540W,H24,,1193.4,115,18,,2,,20F9544B-10ED-454C-B242-E35992464ABB,0,97X,1,0,18,0,0,0,1,1,0,0
-119.274509444,47.1157111110001,1846,4B746DDC-324E-41A5-8338-466AED666F63,MW,PELLY,47-06-56.560N,119-16-28.234W,H24,,1136,408,18,,1,,7119A2D9-79D2-4354-BD42-07BC01557DF6,,,1,0,18,0,0,0,1,0,0,0
-124.627043333,48.299899167,1847,F29D5FF0-F215-4114-ABF6-FB5EC84C54B6,TOU,TATOOSH,48-17-59.637N,124-37-37.356W,H24,,1650,112.2,22,,3,,ED4BC314-35BE-40AE-B15E-8FA95CCD28D5,0,,1,0,22,0,1,1,1,1,0,0
-124.627043333,48.299899167,1848,5DB3A8CF-C9FE-45C0-B853-654BFACC934C,TOU,TATOOSH,48-17-59.637N,124-37-37.356W,H24,,1650,112.2,22,,4,,ED4BC314-35BE-40AE-B15E-8FA95CCD28D5,0,59X,1,0,22,0,1,1,1,1,0,0
-122.661786944,48.354935278,1849,C8813E4D-F086-4BAB-A2F4-C42D33855496,NUW,WHIDBEY ISLAND,48-21-17.764N,122-39-42.437W,H24,,59.7,113.8,18,,4,,A40E51BF-E728-4066-B310-06EEEA15E9ED,2,85X,1,1,18,0,1,1,1,1,0,0
-122.901833333,46.9716388890001,1850,D5A0C68D-678D-4B51-9239-3518C1B01C3A,OLM,OLYMPIA,46-58-17.900N,122-54-06.600W,H24,,200,113.4,19,,3,,D638B058-F76D-4D6B-9618-87EBB64BF04D,0,,1,0,19,0,0,1,1,1,0,0
-122.901833333,46.9716388890001,1851,3A946C58-BE4C-48F0-B5B6-D81F00C71030,OLM,OLYMPIA,46-58-17.900N,122-54-06.600W,H24,,200,113.4,19,,4,,D638B058-F76D-4D6B-9618-87EBB64BF04D,0,81X,1,0,19,0,0,1,1,1,0,0
-119.115716667,46.2629833330001,1852,BE82D593-5321-4609-86CD-BF0144F6D3BD,PSC,PASCO,46-16-12.958N,119-07-02.258W,H24,,405.5,113.75,15,,3,,21911ED7-8C24-4416-A5CB-57B8F3623242,1,,1,0,15,0,0,0,1,0,0,0
-119.115716667,46.2629833330001,1853,0CC6492E-5513-4C97-AE8B-D707877894AA,PSC,PASCO,46-16-12.958N,119-07-02.258W,H24,,405.5,113.75,15,,2,,21911ED7-8C24-4416-A5CB-57B8F3623242,1,84Y,1,0,15,0,0,0,1,0,0,0
-123.670250833,48.1501994440001,1854,1DABC071-22CB-40C6-A435-2AAA5B8D453D,CL,ELWHA,48-09-00.718N,123-40-12.903W,H24,,1096,515,16,,1,,F814C60E-C304-47AB-93AB-F2E5214E09B5,,,1,0,16,0,1,0,1,0,0,0
-122.3096175,47.435373333,1855,98AB2C01-6002-4C24-BA5E-F8AA121EBBF4,SEA,SEATTLE,47-26-07.343N,122-18-34.618W,H24,,348.4,116.8,19,,3,,60DE34F9-A9A0-4195-8AF9-11593F2CD158,0,,1,0,19,0,1,1,1,1,0,1
-122.3096175,47.435373333,1856,D386AB63-4E5D-4D93-A0F8-BF63058A6E2D,SEA,SEATTLE,47-26-07.343N,122-18-34.618W,H24,,348.4,116.8,19,,4,,60DE34F9-A9A0-4195-8AF9-11593F2CD158,0,115X,1,0,19,0,1,1,1,1,0,1
-117.662069444,47.6101194440001,1857,A0EF8507-5A74-42AA-8779-35E7571AB8BA,SKA,FAIRCHILD,47-36-36.430N,117-39-43.450W,H24,,2437.5,111.4,16,,4,,2F1280B9-5389-4A5C-8BE3-F919C94AB1C7,1,51X,1,1,16,0,0,0,1,0,0,0
-117.626885833,47.5649458330001,1858,AA0EA931-F773-4B9C-8891-0D3279A40B9D,GEG,SPOKANE,47-33-53.805N,117-37-36.789W,H24,,2756.3,115.5,14,,3,,87C96D71-D5A4-44F7-872D-C0674B9601B7,0,,1,0,14,0,0,0,1,1,0,0
-117.626885833,47.5649458330001,1859,375030C2-D627-4A68-AFAC-EB3A3006677C,GEG,SPOKANE,47-33-53.805N,117-37-36.789W,H24,,2756.3,115.5,14,,4,,87C96D71-D5A4-44F7-872D-C0674B9601B7,0,102X,1,0,14,0,0,0,1,1,0,0
